caseid,age,sex,marry,job_satisfaction,income,school,satisfaction_balance,satisfaction_familytime,outdoor_activity,discrimination,competition,match_JobandEducation,weeks_employed
2,55 to 64 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",0,No,0,1,52
5,25 to 34 years,Male,0,1,"Less than 50,000",0,1,"NA",0,No,1,1,52
7,45 to 54 years,Female,0,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
8,35 to 44 years,Male,1,1,"More than 100,000",0,1,Very satisfied,0,No,1,1,52
9,15 to 24 years,Female,0,1,"Less than 50,000",0,0,"NA",1,No,0,1,52
10,45 to 54 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,40
14,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,0,52
20,25 to 34 years,Male,1,1,"Less than 50,000",0,1,Satisfied,0,No,0,1,28
21,55 to 64 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
26,55 to 64 years,Male,1,0,"Less than 50,000",0,0,Satisfied,1,No,0,1,52
29,55 to 64 years,Female,1,1,"Between 50,000 to 100,000",0,0,Neither satisfied nor dissatisfied,0,No,0,1,52
33,45 to 54 years,Male,0,1,"Between 50,000 to 100,000",0,1,Neither satisfied nor dissatisfied,1,No,1,1,52
34,55 to 64 years,Female,0,1,"Less than 50,000",0,0,Satisfied,1,No,0,0,52
36,65 to 74 years,Male,1,1,"Between 50,000 to 100,000",0,1,"NA",0,No,0,0,52
39,35 to 44 years,Male,1,1,"Between 50,000 to 100,000",0,1,Satisfied,1,No,0,1,52
41,25 to 34 years,Female,0,1,"Less than 50,000",1,1,"NA",1,No,1,1,52
43,45 to 54 years,Male,0,1,"Between 50,000 to 100,000",0,1,"NA",1,No,0,1,52
46,35 to 44 years,Female,1,1,"Between 50,000 to 100,000",0,0,"NA",1,No,0,1,52
59,55 to 64 years,Female,1,1,"Less than 50,000",0,1,Very dissatisfied,0,No,0,1,52
60,45 to 54 years,Female,1,1,"Less than 50,000",0,1,Very satisfied,1,No,0,1,52
62,45 to 54 years,Male,1,1,"Between 50,000 to 100,000",0,1,Very satisfied,1,No,0,1,52
64,25 to 34 years,Female,1,1,"Between 50,000 to 100,000",0,0,Satisfied,1,No,0,0,52
67,55 to 64 years,Male,1,1,"More than 100,000",0,1,Satisfied,1,No,0,1,52
68,35 to 44 years,Female,1,1,"Less than 50,000",0,1,Satisfied,1,No,0,1,52
70,15 to 24 years,Male,0,1,"Less than 50,000",1,1,Very satisfied,1,No,1,0,16
71,45 to 54 years,Male,1,1,"Less than 50,000",0,0,Neither satisfied nor dissatisfied,1,No,1,1,52
74,55 to 64 years,Female,0,1,"Less than 50,000",0,1,"NA",1,No,0,0,52
77,55 to 64 years,Male,1,1,"More than 100,000",0,1,Very satisfied,1,No,1,1,52
79,45 to 54 years,Male,0,1,"More than 100,000",0,1,"NA",1,No,0,1,52
